description,endTimestamp,fromLat,fromLon,impact,isBothDirections,lightVehicle,networkPointFromLinkName,startTimestamp,status,subtypeCodes,subtypeNames,totalLanes,type
"Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-04-02T13:17:24Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-02T13:13:00Z,Cancelado,,,2,Manifestación
OBRAS,2019-04-24T12:58:00Z,-34.559303283691406,-58.44724655151367,Considerable,False,0,"SUCRE, ANTONIO JOSE de, Mcal.",2019-04-10T12:57:00Z,Inactivo,2131,Pavimentación,2,Obras
"Prueba Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-04-10T16:25:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-10T15:26:53Z,Cancelado,,,2,Manifestación
"Prueba Buenos Aires:. Debido a Musical en CHUTRO, PEDRO, Prof., Dr. (E) en  MONTEAGUDO",2019-04-10T16:47:00Z,-34.642093658447266,-58.4046630859375,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-10T15:48:28Z,Cancelado,2122,Musical,2,Evento
"Prueba Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-04-10T16:39:39Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-10T15:58:58Z,Cancelado,2231,Pavimentación,2,Obras
"Prueba Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  MONTEAGUDO",2019-04-10T17:40:00Z,-34.642093658447266,-58.4046630859375,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-10T16:41:03Z,Cancelado,,,2,Embotellamiento
"Prueba Buenos Aires:. Debido a Construcción en CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-04-10T20:00:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-10T19:00:00Z,Cancelado,11,Construcción,2,Construcción tráfico
"Prueba: Buenos Aires:. Debido a Bacheo en CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-04-11T21:17:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-04-11T20:18:28Z,Cancelado,2132,Bacheo,2,Obras
OBRAS ,2019-04-29T02:59:00Z,-34.626956939697266,-58.382843017578125,Menor,False,0,"GARAY, JUAN DE AV.",2019-04-27T03:00:00Z,Cancelado,2133,Servicio público,2,Obras
Corte total por manifestacion. ,2019-04-25T00:19:52Z,-34.622135162353516,-58.380008697509766,Considerable,False,0,"IRIGOYEN, BERNARDO de",2019-04-23T15:52:43Z,Terminado,,,2,Manifestación
Colectivo detenido,,-34.60189437866211,-58.370487213134766,Severo,False,0,"ALEM, LEANDRO N. AV.",2019-04-23T19:48:10Z,Activo,2325,Colectivo detenido,2,Obstrucción de calzada
Corte total por obras,2019-04-24T16:15:00Z,-34.59501266479492,-58.3733024597168,Menor,False,0,"ROJAS, RICARDO, Dr.",2019-04-24T13:16:02Z,Activo,2003,Semaforos,2,Servicios Públicos
Corte total por manifestacion,2019-04-24T18:33:00Z,-34.60908889770508,-58.38194274902344,Considerable,False,0,DE MAYO AV.,2019-04-24T14:34:19Z,Inactivo,,,2,Manifestación
Corte total por manfiestacion,2019-04-24T17:35:00Z,-34.60892105102539,-58.38766098022461,Considerable,False,0,RIVADAVIA AV.,2019-04-24T14:36:12Z,Inactivo,,,2,Manifestación
Corte total por manifestacion,2019-04-24T18:37:00Z,-34.6103401184082,-58.39188003540039,Considerable,False,0,"YRIGOYEN, HIPOLITO",2019-04-24T14:38:00Z,Inactivo,,,2,Manifestación
OBRAS ,2019-04-24T15:45:00Z,-34.65542984008789,-58.516719818115234,Menor,False,0,CARHUE,2019-04-24T15:00:00Z,Terminado,2131,Pavimentación,2,Obras
Corte total por obras de EMUI,2019-04-25T18:59:00Z,-34.609676361083984,-58.38191604614258,Menor,False,0,"YRIGOYEN, HIPOLITO",2019-04-25T13:50:02Z,Activo,2231,Pavimentación,2,Obras
Corte total por manifestacion,2019-04-26T18:59:00Z,-34.59839630126953,-58.37117004394531,Severo,False,0,"ALEM, LEANDRO N. AV.",2019-04-26T15:59:00Z,Terminado,,,2,Manifestación
GRUA,2019-05-03T13:43:44Z,-34.60798645019531,-58.39203643798828,Menor,False,0,"MITRE, BARTOLOME",2019-04-28T15:34:08Z,Terminado,2,Obras en calzada,2,Corte NO programado
OBRAS ,2019-05-02T13:32:00Z,-34.65953826904297,-58.51011657714844,Ninguno,False,0,ANDALGALA,2019-05-02T12:32:00Z,Cancelado,2131,Pavimentación,2,Obras
"Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-05-03T19:42:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-05-03T18:42:00Z,Cancelado,,,2,Manifestación
"Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) en  ZAVALETA",2019-05-03T20:00:15Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-05-03T19:46:00Z,Cancelado,,,2,Manifestación
INCIDENTE VIAL,2019-05-07T13:24:24Z,-34.586421966552734,-58.437171936035156,Menor,False,0,"CABRERA, JOSE A.",2019-05-07T11:58:00Z,Terminado,8,Accidente,2,Accidente
"Buenos Aires:. En CHUTRO, PEDRO, Prof., Dr. (E) entre  ZAVALETA Y  MONTEAGUDO",2019-05-16T02:58:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-05-15T15:45:06Z,Terminado,,,2,Manifestación
Buenos Aires:. En 9 DE JULIO AV. (S) entre  MORENO Y  BELGRANO AV.,2019-05-15T18:59:00Z,-34.61186218261719,-58.38093948364258,Considerable,False,0,9 DE JULIO AV.,2019-05-15T15:53:35Z,Cancelado,,,2,Manifestación
Buenos Aires:. En 9 DE JULIO AV. (S1) entre  MORENO Y  BELGRANO AV.,2019-05-15T17:59:00Z,-34.611873626708984,-58.38120651245117,Considerable,False,0,9 DE JULIO AV.,2019-05-15T16:21:45Z,Terminado,,,2,Manifestación
Buenos Aires:. En 9 DE JULIO AV. (S1) entre  DE MAYO AV. Y  MORENO,2019-05-15T17:59:00Z,-34.60906219482422,-58.38150405883789,Considerable,False,0,9 DE JULIO AV.,2019-05-15T16:25:24Z,Cancelado,,,2,Manifestación
"Buenos Aires:. En ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV. (S) entre  BOLIVAR Y  BOLIVAR +176.0",2019-05-15T19:59:00Z,-34.60908889770508,-58.373504638671875,Considerable,False,0,"ROCA, JULIO A., PRESIDENTE DIAGONAL SUR AV.",2019-05-15T17:34:11Z,Terminado,,,2,Manifestación
Buenos Aires:. En LIMA (S2) entre  DE MAYO AV. Y  BELGRANO AV.,2019-05-16T18:59:00Z,-34.60908889770508,-58.38194274902344,Considerable,False,0,LIMA,2019-05-16T16:19:32Z,Inactivo,,,2,Manifestación
"Buenos Aires:. Debido a Accidente en LINIERS VIRREY (S) entre  CALVO, CARLOS y  ESTADOS UNIDOS",2019-06-10T16:45:00Z,-34.62333297729492,-58.41373062133789,Menor,False,0,LINIERS VIRREY,2019-06-10T16:14:00Z,Activo,8,Accidente,2,Accidente
Buenos Aires:. Debido a Obras en calzada en CHACABUCO (S) entre  REPUBLICA BOLIVARIANA DE VENEZUELA y  BELGRANO AV.,2019-06-10T20:00:00Z,-34.61390686035156,-58.376094818115234,Menor,False,0,CHACABUCO,2019-06-10T16:43:00Z,Activo,2,Obras en calzada,2,Corte NO programado
Corte total por Obra,2019-07-28T20:59:00Z,-34.5767936706543,-58.42353057861328,Considerable,False,0,GODOY CRUZ,2019-07-11T13:50:02Z,Inactivo,2134,Otros,2,Obras
"Buenos Aires:. Debido a Manifestación en MITRE, BARTOLOME (E) en  25 DE MAYO",2019-08-06T14:03:34Z,-34.606563568115234,-58.370872497558594,Considerable,False,0,"MITRE, BARTOLOME",2019-08-06T13:54:00Z,Terminado,4,Manifestación,2,Corte NO programado
Buenos Aires:. En PASCO (S1) en  15 DE NOVIEMBRE DE 1889,2019-08-06T14:35:52Z,-34.63250732421875,-58.3946418762207,Menor,False,0,PASCO,2019-08-06T14:04:00Z,Terminado,,,2,Manifestación
Buenos Aires:. Debido a Obras en calzada en MONTEAGUDO (S1) en  LOS PATOS,2019-08-06T14:36:16Z,-34.64109420776367,-58.40486145019531,Considerable,False,0,MONTEAGUDO,2019-08-06T14:15:00Z,Terminado,2,Obras en calzada,2,Corte NO programado
CORTE POR OBRAS,2019-08-07T09:00:00Z,-34.670894622802734,-58.476234436035156,Considerable,False,0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,2019-08-07T00:00:00Z,Inactivo,2132,Bacheo,2,Obras
MANIFESTACION,2019-08-06T21:00:00Z,-34.6416015625,-58.40271759033203,Considerable,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-08-06T19:31:00Z,Terminado,4,Manifestación,2,Corte NO programado
OBRAS,2019-08-07T15:30:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-08-07T15:10:00Z,Terminado,1,Obras en calzada,2,Corte programado
OBRAS,2019-08-07T16:55:00Z,-34.6416015625,-58.40271759033203,Menor,False,0,"CHUTRO, PEDRO, Prof., Dr.",2019-08-07T16:45:00Z,Terminado,1,Obras en calzada,2,Corte programado
